b.year,b.title,b.studio,b.gross
2009,Avatar,Fox,2782.3
1997,Titanic,Par.,2186.8
2012,Marvel's The Avengers,BV,1518.6
2011,Harry Potter and the Deathly Hallows Part 2,WB,1341.5
2013,Iron Man 3,BV,1215.4
2011,Transformers: Dark of the Moon,P/DW,1123.8
2003,The Lord of the Rings: The Return of the King,NL,1119.9
2012,Skyfall,Sony,1108.6
2012,The Dark Knight Rises,WB,1084.4
2006,Pirates of the Caribbean: Dead Man's Chest,BV,1066.2
2010,Toy Story 3,BV,1063.2
2011,Pirates of the Caribbean: On Stranger Tides,BV,1045.7
1993,Jurassic Park,Uni.,1029.2
1999,Star Wars: Episode I - The Phantom Menace,Fox,1027.0
2010,Alice in Wonderland (2010),BV,1025.5
2012,The Hobbit: An Unexpected Journey,WB,1017.0
2008,The Dark Knight,WB,1004.6
1994,The Lion King,BV,987.5
2001,Harry Potter and the Sorcerer's Stone,WB,974.8
2007,Pirates of the Caribbean: At World's End,BV,963.4
2010,Harry Potter and the Deathly Hallows Part 1,WB,960.3
2007,Harry Potter and the Order of the Phoenix,WB,939.9
2003,Finding Nemo,BV,936.7
2009,Harry Potter and the Half-Blood Prince,WB,934.4
2002,The Lord of the Rings: The Two Towers,NL,926.0
2004,Shrek 2,DW,919.8
2013,Despicable Me 2,Uni.,911.8
2005,Harry Potter and the Goblet of Fire,WB,896.9
2007,Spider-Man 3,Sony,890.9
2009,Ice Age: Dawn of the Dinosaurs,Fox,886.7
2002,Harry Potter and the Chamber of Secrets,WB,879.0
2012,Ice Age: Continental Drift,Fox,877.2
2001,The Lord of the Rings: The Fellowship of the Ring,NL,871.5
2005,Star Wars: Episode III - Revenge of the Sith,Fox,848.8
2009,Transformers: Revenge of the Fallen,P/DW,836.3
2012,The Twilight Saga: Breaking Dawn Part 2,LG/S,829.7
2010,Inception,WB,825.5
2002,Spider-Man,Sony,821.7
1996,Independence Day,Fox,817.4
2007,Shrek the Third,P/DW,799.0
2004,Harry Potter and the Prisoner of Azkaban,WB,796.7
1982,E.T.: The Extra-Terrestrial,Uni.,792.9
2013,Fast &amp; Furious 6,Uni.,788.7
2008,Indiana Jones and the Kingdom of the Crystal Skull,Par.,786.6
2004,Spider-Man 2,Sony,783.8
1977,Star Wars,Fox,775.4
2009,2012,Sony,769.7
2006,The Da Vinci Code,Sony,758.2
2010,Shrek Forever After,P/DW,752.6
2012,The Amazing Spider-Man,Sony,752.2
2012,Madagascar 3: Europe's Most Wanted,P/DW,746.9
2005,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,BV,745.0
2013,Monsters University,BV,743.1
2003,The Matrix Reloaded,WB,742.1
2009,Up,BV,731.3
2011,The Twilight Saga: Breaking Dawn Part 1,Sum.,712.2
2009,The Twilight Saga: New Moon,Sum.,709.8
2007,Transformers,P/DW,709.7
2010,The Twilight Saga: Eclipse,Sum.,698.5
2011,Mission: Impossible - Ghost Protocol,Par.,694.7
2012,The Hunger Games,LGF,691.2
1994,Forrest Gump,Par.,677.4
1999,The Sixth Sense,BV,672.8
2011,Kung Fu Panda 2,P/DW,665.7
2013,Man of Steel,WB,662.8
2006,Ice Age: The Meltdown,Fox,655.4
2003,Pirates of the Caribbean: The Curse of the Black Pearl,BV,654.3
2002,Star Wars: Episode II - Attack of the Clones,Fox,649.4
2008,Kung Fu Panda,P/DW,631.7
2004,The Incredibles,BV,631.4
2011,Fast Five,Uni.,626.1
2008,Hancock,Sony,624.4
2012,MIB 3,Sony,624.0
2010,Iron Man 2,Par.,623.9
2007,Ratatouille,BV,623.7
1997,The Lost World: Jurassic Park,Uni.,618.6
2004,The Passion of the Christ,NM,611.9
2008,Mamma Mia!,Uni.,609.8
2012,Life of Pi,Fox,609.0
2008,Madagascar: Escape 2 Africa,P/DW,603.9
2006,Casino Royale,Sony,599.0
2010,Tangled,BV,591.8
2005,War of the Worlds,Par.,591.7
1997,Men in Black,Sony,589.4
2013,The Croods,Fox,587.2
2011,The Hangover Part II,WB,586.8
2008,Quantum of Solace,Sony,586.1
2007,I Am Legend,WB,585.3
2008,Iron Man,Par.,585.2
2006,Night at the Museum,Fox,574.5
2011,The Smurfs,Sony,563.7
2001,Monsters Inc.,BV,562.8
2011,Cars 2,BV,559.9
2011,Puss in Boots,P/DW,555.0
1998,Armageddon,BV,553.7
2005,King Kong,Uni.,550.5
2012,Ted,Uni.,549.4
2000,Mission: Impossible II,Par.,546.4
2011,Sherlock Holmes: A Game of Shadows,WB,545.4
2004,The Day After Tomorrow,Fox,544.3
