i.title,i.rating
The Shawshank Redemption,9.2
The Godfather,9.2
The Godfather: Part II,9.0
Pulp Fiction,8.9
The Good the Bad and the Ugly,8.9
The Dark Knight,8.9
12 Angry Men,8.9
Schindler's List,8.9
The Lord of the Rings: The Return of the King,8.8
Fight Club,8.8
Star Wars: Episode V - The Empire Strikes Back,8.8
The Lord of the Rings: The Fellowship of the Ring,8.8
One Flew Over the Cuckoo's Nest,8.7
Goodfellas,8.7
Seven Samurai,8.7
Inception,8.7
Star Wars: Episode IV - A New Hope,8.7
Forrest Gump,8.7
The Matrix,8.7
The Lord of the Rings: The Two Towers,8.7
City of God,8.6
The Silence of the Lambs,8.6
Se7en,8.6
Once Upon a Time in the West,8.6
Casablanca,8.6
The Usual Suspects,8.6
Raiders of the Lost Ark,8.6
Rear Window,8.6
It's a Wonderful Life,8.6
Psycho,8.6
Leon,8.6
Sunset Boulevard,8.5
American History X,8.5
Terminator 2: Judgment Day,8.5
Apocalypse Now,8.5
Memento,8.5
Saving Private Ryan,8.5
City Lights,8.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5
Alien,8.5
Gravity,8.5
Modern Times,8.5
Spirited Away,8.5
North by Northwest,8.5
Back to the Future,8.5
The Pianist,8.4
Citizen Kane,8.4
Life Is Beautiful,8.4
M,8.4
The Shining,8.4
The Departed,8.4
Paths of Glory,8.4
Vertigo,8.4
American Beauty,8.4
Django Unchained,8.4
Double Indemnity,8.4
The Dark Knight Rises,8.4
Taxi Driver,8.4
Aliens,8.4
The Green Mile,8.4
Untouchable,8.4
Gladiator,8.4
WALL?E,8.4
The Lives of Others,8.4
Toy Story 3,8.4
The Great Dictator,8.4
The Prestige,8.4
A Clockwork Orange,8.4
Amelie,8.4
Lawrence of Arabia,8.4
To Kill a Mockingbird,8.4
Reservoir Dogs,8.4
Das Boot,8.4
Cinema Paradiso,8.3
The Lion King,8.3
The Treasure of the Sierra Madre,8.3
The Third Man,8.3
Once Upon a Time in America,8.3
Requiem for a Dream,8.3
Star Wars: Episode VI - Return of the Jedi,8.3
Eternal Sunshine of the Spotless Mind,8.3
Full Metal Jacket,8.3
Braveheart,8.3
L.A. Confidential,8.3
Oldboy,8.3
Singin' in the Rain,8.3
Metropolis,8.3
Chinatown,8.3
Some Like It Hot,8.3
Rashomon,8.3
Bicycle Thieves,8.3
All About Eve,8.3
Monty Python and the Holy Grail,8.3
Princess Mononoke,8.3
Amadeus,8.3
2001: A Space Odyssey,8.3
Witness for the Prosecution,8.3
The Apartment,8.3
The Sting,8.3
Unforgiven,8.3
Grave of the Fireflies,8.3
Indiana Jones and the Last Crusade,8.3
Raging Bull,8.3
The Bridge on the River Kwai,8.3
Die Hard,8.3
Yojimbo,8.3
Batman Begins,8.3
A Separation,8.3
Inglourious Basterds,8.2
For a Few Dollars More,8.2
Snatch.,8.2
Mr. Smith Goes to Washington,8.2
Toy Story,8.2
On the Waterfront,8.2
The Great Escape,8.2
Downfall,8.2
Pan's Labyrinth,8.2
Up,8.2
The General,8.2
The Seventh Seal,8.2
Heat,8.2
The Elephant Man,8.2
The Maltese Falcon,8.2
The Kid,8.2
Blade Runner,8.2
Wild Strawberries,8.2
Rebecca,8.2
Scarface,8.2
Ikiru,8.2
Fargo,8.2
Ran,8.2
Gran Torino,8.2
The Big Lebowski,8.2
Touch of Evil,8.2
The Gold Rush,8.2
The Deer Hunter,8.2
Cool Hand Luke,8.2
It Happened One Night,8.1
Les Diaboliques,8.1
No Country for Old Men,8.1
Lock Stock and Two Smoking Barrels,8.1
The Sixth Sense,8.1
Good Will Hunting,8.1
Jaws,8.1
Casino,8.1
Strangers on a Train,8.1
Judgement at Nuremberg,8.1
The Wizard of Oz,8.1
The Grapes of Wrath,8.1
Platoon,8.1
