o.year,o.category,o.sport,o.country,o.event,o.gender,o.medal
1924,Skating,Figure skating,AUT,individual,M,Silver
1924,Skating,Figure skating,AUT,individual,W,Gold
1924,Skating,Figure skating,AUT,pairs,X,Gold
1924,Bobsleigh,Bobsleigh,BEL,four-man,M,Bronze
1924,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1924,Biathlon,Biathlon,FIN,military patrol,M,Silver
1924,Skating,Figure skating,FIN,pairs,X,Silver
1924,Skating,Speed skating,FIN,10000m,M,Gold
1924,Skating,Speed skating,FIN,10000m,M,Silver
1924,Skating,Speed skating,FIN,1500m,M,Gold
1924,Skating,Speed skating,FIN,5000m,M,Gold
1924,Skating,Speed skating,FIN,5000m,M,Silver
1924,Skating,Speed skating,FIN,500m,M,Bronze
1924,Skating,Speed skating,FIN,combined (4 events),M,Bronze
1924,Skating,Speed skating,FIN,combined (4 events),M,Gold
1924,Skiing,Cross Country S,FIN,18km,M,Bronze
1924,Biathlon,Biathlon,FRA,military patrol,M,Bronze
1924,Curling,Curling,FRA,curling,M,Bronze
1924,Skating,Figure skating,FRA,pairs,X,Bronze
1924,Bobsleigh,Bobsleigh,GBR,four-man,M,Silver
1924,Curling,Curling,GBR,curling,M,Gold
1924,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Bronze
1924,Skating,Figure skating,GBR,individual,W,Bronze
1924,Skating,Speed skating,NOR,10000m,M,Bronze
1924,Skating,Speed skating,NOR,1500m,M,Bronze
1924,Skating,Speed skating,NOR,1500m,M,Silver
1924,Skating,Speed skating,NOR,5000m,M,Bronze
1924,Skating,Speed skating,NOR,500m,M,Bronze
1924,Skating,Speed skating,NOR,500m,M,Silver
1924,Skating,Speed skating,NOR,combined (4 events),M,Silver
1924,Skiing,Cross Country S,NOR,18km,M,Gold
1924,Skiing,Cross Country S,NOR,18km,M,Silver
1924,Skiing,Cross Country S,NOR,50km,M,Bronze
1924,Skiing,Cross Country S,NOR,50km,M,Gold
1924,Skiing,Cross Country S,NOR,50km,M,Silver
1924,Skiing,Nordic Combined,NOR,individual,M,Bronze
1924,Skiing,Nordic Combined,NOR,individual,M,Gold
1924,Skiing,Nordic Combined,NOR,individual,M,Silver
1924,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1924,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1924,Biathlon,Biathlon,SUI,military patrol,M,Gold
1924,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1924,Skating,Figure skating,SUI,individual,M,Bronze
1924,Curling,Curling,SWE,curling,M,Silver
1924,Skating,Figure skating,SWE,individual,M,Gold
1924,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1924,Skating,Figure skating,USA,individual,W,Silver
1924,Skating,Speed skating,USA,500m,M,Gold
1924,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze
1928,Skating,Figure skating,AUT,individual,M,Silver
1928,Skating,Figure skating,AUT,individual,W,Silver
1928,Skating,Figure skating,AUT,pairs,X,Bronze
1928,Skating,Figure skating,AUT,pairs,X,Silver
1928,Skating,Figure skating,BEL,individual,M,Bronze
1928,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1928,Skating,Speed skating,FIN,1500m,M,Gold
1928,Skating,Speed skating,FIN,5000m,M,Silver
1928,Skating,Speed skating,FIN,500m,M,Bronze
1928,Skating,Speed skating,FIN,500m,M,Gold
1928,Skating,Figure skating,FRA,pairs,X,Gold
1928,Bobsleigh,Skeleton,GBR,individual,M,Bronze
1928,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze
1928,Skating,Figure skating,NOR,individual,W,Gold
1928,Skating,Speed skating,NOR,1500m,M,Bronze
1928,Skating,Speed skating,NOR,1500m,M,Silver
1928,Skating,Speed skating,NOR,5000m,M,Bronze
1928,Skating,Speed skating,NOR,5000m,M,Gold
1928,Skating,Speed skating,NOR,500m,M,Bronze
1928,Skating,Speed skating,NOR,500m,M,Gold
1928,Skiing,Cross Country S,NOR,18km,M,Bronze
1928,Skiing,Cross Country S,NOR,18km,M,Gold
1928,Skiing,Cross Country S,NOR,18km,M,Silver
1928,Skiing,Nordic Combined,NOR,individual,M,Bronze
1928,Skiing,Nordic Combined,NOR,individual,M,Gold
1928,Skiing,Nordic Combined,NOR,individual,M,Silver
1928,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1928,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1928,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
1928,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Silver
1928,Skating,Figure skating,SWE,individual,M,Gold
1928,Skiing,Cross Country S,SWE,50km,M,Bronze
1928,Skiing,Cross Country S,SWE,50km,M,Gold
1928,Skiing,Cross Country S,SWE,50km,M,Silver
1928,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Bronze
1928,Bobsleigh,Bobsleigh,USA,five-man,M,Gold
1928,Bobsleigh,Bobsleigh,USA,five-man,M,Silver
1928,Bobsleigh,Skeleton,USA,individual,M,Gold
1928,Bobsleigh,Skeleton,USA,individual,M,Silver
1928,Skating,Figure skating,USA,individual,W,Bronze
1928,Skating,Speed skating,USA,500m,M,Bronze
1932,Skating,Figure skating,AUT,individual,M,Gold
1932,Skating,Figure skating,AUT,individual,W,Silver
1932,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1932,Skating,Figure skating,CAN,individual,M,Bronze
1932,Skating,Speed skating,CAN,10000m,M,Bronze
1932,Skating,Speed skating,CAN,1500m,M,Bronze
1932,Skating,Speed skating,CAN,1500m,M,Silver
1932,Skating,Speed skating,CAN,5000m,M,Bronze
1932,Skating,Speed skating,CAN,500m,M,Bronze
1932,Skiing,Cross Country S,FIN,18km,M,Bronze
1932,Skiing,Cross Country S,FIN,50km,M,Gold
1932,Skiing,Cross Country S,FIN,50km,M,Silver
1932,Skating,Figure skating,FRA,pairs,X,Gold
1932,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze
1932,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze
1932,Skating,Figure skating,HUN,pairs,X,Bronze
1932,Skating,Figure skating,NOR,individual,W,Gold
1932,Skating,Speed skating,NOR,10000m,M,Silver
1932,Skating,Speed skating,NOR,500m,M,Silver
1932,Skiing,Cross Country S,NOR,50km,M,Bronze
1932,Skiing,Nordic Combined,NOR,individual,M,Bronze
1932,Skiing,Nordic Combined,NOR,individual,M,Gold
1932,Skiing,Nordic Combined,NOR,individual,M,Silver
1932,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1932,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1932,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1932,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1932,Skating,Figure skating,SWE,individual,M,Silver
1932,Skiing,Cross Country S,SWE,18km,M,Gold
1932,Skiing,Cross Country S,SWE,18km,M,Silver
1932,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1932,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1932,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1932,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1932,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1932,Skating,Figure skating,USA,individual,W,Bronze
1932,Skating,Figure skating,USA,pairs,X,Silver
1932,Skating,Speed skating,USA,10000m,M,Gold
1932,Skating,Speed skating,USA,1500m,M,Gold
1932,Skating,Speed skating,USA,5000m,M,Gold
1932,Skating,Speed skating,USA,5000m,M,Silver
1932,Skating,Speed skating,USA,500m,M,Gold
1936,Skating,Figure skating,AUT,individual,M,Bronze
1936,Skating,Figure skating,AUT,individual,M,Gold
1936,Skating,Figure skating,AUT,pairs,X,Silver
1936,Skating,Speed skating,AUT,10000m,M,Bronze
1936,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
1936,Skating,Speed skating,FIN,10000m,M,Silver
1936,Skating,Speed skating,FIN,1500m,M,Bronze
1936,Skating,Speed skating,FIN,5000m,M,Bronze
1936,Skating,Speed skating,FIN,5000m,M,Silver
1936,Skiing,Cross Country S,FIN,18km,M,Bronze
1936,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1936,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1936,Bobsleigh,Bobsleigh,GBR,four-man,M,Bronze
1936,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Gold
1936,Skating,Figure skating,GBR,individual,W,Silver
1936,Skating,Figure skating,GER,individual,M,Silver
1936,Skating,Figure skating,GER,pairs,X,Gold
1936,Skiing,Alpine Skiing,GER,alpine combined,M,Gold
1936,Skiing,Alpine Skiing,GER,alpine combined,M,Silver
1936,Skiing,Alpine Skiing,GER,alpine combined,W,Gold
1936,Skiing,Alpine Skiing,GER,alpine combined,W,Silver
1936,Skating,Figure skating,HUN,pairs,X,Bronze
1936,Skating,Figure skating,NOR,individual,W,Gold
1936,Skating,Speed skating,NOR,10000m,M,Gold
1936,Skating,Speed skating,NOR,1500m,M,Gold
1936,Skating,Speed skating,NOR,1500m,M,Silver
1936,Skating,Speed skating,NOR,5000m,M,Gold
1936,Skating,Speed skating,NOR,500m,M,Gold
1936,Skating,Speed skating,NOR,500m,M,Silver
1936,Skiing,Alpine Skiing,NOR,alpine combined,W,Bronze
1936,Skiing,Cross Country S,NOR,18km,M,Silver
1936,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1936,Skiing,Nordic Combined,NOR,individual,M,Bronze
1936,Skiing,Nordic Combined,NOR,individual,M,Gold
1936,Skiing,Nordic Combined,NOR,individual,M,Silver
1936,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1936,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1936,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1936,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver
1936,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1936,Skating,Figure skating,SWE,individual,W,Bronze
1936,Skiing,Cross Country S,SWE,18km,M,Gold
1936,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1936,Skiing,Cross Country S,SWE,50km,M,Bronze
1936,Skiing,Cross Country S,SWE,50km,M,Gold
1936,Skiing,Cross Country S,SWE,50km,M,Silver
1936,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Silver
1936,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1936,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1936,Ice Hockey,Ice Hockey,USA,ice hockey,M,Bronze
1936,Skating,Speed skating,USA,500m,M,Bronze
1948,Skating,Figure skating,AUT,individual,M,Bronze
1948,Skating,Figure skating,AUT,individual,W,Silver
1948,Skiing,Alpine Skiing,AUT,alpine combined,W,Bronze
1948,Skiing,Alpine Skiing,AUT,alpine combined,W,Gold
1948,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1948,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
1948,Skiing,Alpine Skiing,AUT,downhill,W,Silver
1948,Skiing,Alpine Skiing,AUT,slalom,W,Bronze
1948,Bobsleigh,Bobsleigh,BEL,four-man,M,Silver
1948,Skating,Figure skating,BEL,pairs,X,Gold
1948,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1948,Skating,Figure skating,CAN,individual,W,Gold
1948,Skating,Figure skating,CAN,pairs,X,Bronze
1948,Skating,Speed skating,FIN,10000m,M,Bronze
1948,Skating,Speed skating,FIN,10000m,M,Silver
1948,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1948,Skiing,Cross Country S,FIN,50km,M,Bronze
1948,Skiing,Nordic Combined,FIN,individual,M,Gold
1948,Skiing,Nordic Combined,FIN,individual,M,Silver
1948,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1948,Skiing,Alpine Skiing,FRA,alpine combined,M,Gold
1948,Skiing,Alpine Skiing,FRA,downhill,M,Gold
1948,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
1948,Skiing,Alpine Skiing,FRA,slalom,M,Silver
1948,Bobsleigh,Skeleton,GBR,individual,M,Bronze
1948,Skating,Figure skating,GBR,individual,W,Bronze
1948,Skating,Figure skating,HUN,pairs,X,Silver
1948,Bobsleigh,Skeleton,ITA,individual,M,Gold
1948,Skating,Speed skating,NOR,1500m,M,Bronze
1948,Skating,Speed skating,NOR,1500m,M,Gold
1948,Skating,Speed skating,NOR,5000m,M,Gold
1948,Skating,Speed skating,NOR,5000m,M,Silver
1948,Skating,Speed skating,NOR,500m,M,Gold
1948,Skating,Speed skating,NOR,500m,M,Silver
1948,Skiing,Cross Country S,NOR,4x10km relay,M,Bronze
1948,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1948,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1948,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1948,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold
1948,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1948,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
1948,Skating,Figure skating,SUI,individual,M,Silver
1948,Skiing,Alpine Skiing,SUI,alpine combined,M,Silver
1948,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,Skiing,Alpine Skiing,SUI,downhill,W,Gold
1948,Skiing,Alpine Skiing,SUI,slalom,M,Gold
1948,Skiing,Alpine Skiing,SUI,slalom,W,Silver
1948,Skating,Speed skating,SWE,10000m,M,Gold
1948,Skating,Speed skating,SWE,1500m,M,Silver
1948,Skating,Speed skating,SWE,5000m,M,Bronze
1948,Skiing,Cross Country S,SWE,18km,M,Bronze
1948,Skiing,Cross Country S,SWE,18km,M,Gold
1948,Skiing,Cross Country S,SWE,18km,M,Silver
1948,Skiing,Cross Country S,SWE,4x10km relay,M,Gold
1948,Skiing,Cross Country S,SWE,50km,M,Gold
1948,Skiing,Cross Country S,SWE,50km,M,Silver
1948,Skiing,Nordic Combined,SWE,individual,M,Bronze
1948,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver
1948,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze
1948,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1948,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1948,Bobsleigh,Skeleton,USA,individual,M,Silver
1948,Skating,Figure skating,USA,individual,M,Gold
1948,Skating,Speed skating,USA,500m,M,Silver
1948,Skating,Speed skating,USA,500m,M,Silver
1948,Skiing,Alpine Skiing,USA,alpine combined,W,Silver
1948,Skiing,Alpine Skiing,USA,slalom,W,Gold
1952,Skating,Figure skating,AUT,individual,M,Silver
1952,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1952,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1952,Skiing,Alpine Skiing,AUT,downhill,W,Gold
1952,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1952,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1952,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1952,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1952,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1952,Skating,Speed skating,CAN,500m,M,Bronze
1952,Skiing,Cross Country S,FIN,10km,W,Bronze
1952,Skiing,Cross Country S,FIN,10km,W,Gold
1952,Skiing,Cross Country S,FIN,10km,W,Silver
1952,Skiing,Cross Country S,FIN,18km,M,Bronze
1952,Skiing,Cross Country S,FIN,18km,M,Silver
1952,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1952,Skiing,Cross Country S,FIN,50km,M,Gold
1952,Skiing,Cross Country S,FIN,50km,M,Silver
1952,Skiing,Nordic Combined,FIN,individual,M,Silver
1952,Skating,Figure skating,FRA,individual,W,Bronze
1952,Bobsleigh,Bobsleigh,FRG,four-man,M,Gold
1952,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold
1952,Skating,Figure skating,GBR,individual,W,Gold
1952,Skating,Figure skating,GER,pairs,X,Gold
1952,Skiing,Alpine Skiing,GER,downhill,W,Silver
1952,Skiing,Alpine Skiing,GER,giant slalom,W,Bronze
1952,Skiing,Alpine Skiing,GER,slalom,W,Bronze
1952,Skiing,Alpine Skiing,GER,slalom,W,Silver
1952,Skating,Figure skating,HUN,pairs,X,Bronze
1952,Skiing,Alpine Skiing,ITA,downhill,M,Gold
1952,Skiing,Alpine Skiing,ITA,downhill,W,Bronze
1952,Skating,Speed skating,NED,10000m,M,Silver
1952,Skating,Speed skating,NED,1500m,M,Silver
1952,Skating,Speed skating,NED,5000m,M,Silver
1952,Skating,Speed skating,NOR,10000m,M,Gold
1952,Skating,Speed skating,NOR,1500m,M,Bronze
1952,Skating,Speed skating,NOR,1500m,M,Gold
1952,Skating,Speed skating,NOR,5000m,M,Bronze
1952,Skating,Speed skating,NOR,5000m,M,Gold
1952,Skating,Speed skating,NOR,500m,M,Bronze
1952,Skiing,Alpine Skiing,NOR,giant slalom,M,Gold
1952,Skiing,Alpine Skiing,NOR,slalom,M,Bronze
1952,Skiing,Alpine Skiing,NOR,slalom,M,Silver
1952,Skiing,Cross Country S,NOR,18km,M,Gold
1952,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1952,Skiing,Cross Country S,NOR,50km,M,Bronze
1952,Skiing,Nordic Combined,NOR,individual,M,Bronze
1952,Skiing,Nordic Combined,NOR,individual,M,Gold
1952,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1952,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1952,Bobsleigh,Bobsleigh,SUI,four-man,M,Bronze
1952,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
1952,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Bronze
1952,Skating,Speed skating,SWE,10000m,M,Bronze
1952,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1952,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Bronze
1952,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1952,Bobsleigh,Bobsleigh,USA,two-man,M,Silver
1952,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1952,Skating,Figure skating,USA,individual,M,Bronze
1952,Skating,Figure skating,USA,individual,M,Gold
1952,Skating,Figure skating,USA,individual,W,Silver
1952,Skating,Figure skating,USA,pairs,X,Silver
1952,Skating,Speed skating,USA,500m,M,Gold
1952,Skating,Speed skating,USA,500m,M,Silver
1952,Skiing,Alpine Skiing,USA,giant slalom,W,Gold
1952,Skiing,Alpine Skiing,USA,slalom,W,Gold
1956,Skating,Figure skating,AUT,individual,W,Bronze
1956,Skating,Figure skating,AUT,pairs,X,Gold
1956,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1956,Skiing,Alpine Skiing,AUT,downhill,M,Gold
1956,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1956,Skiing,Alpine Skiing,AUT,giant slalom,M,Gold
1956,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1956,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze
1956,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1956,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1956,Skiing,Alpine Skiing,AUT,slalom,W,Silver
1956,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Bronze
1956,Skating,Figure skating,CAN,pairs,X,Silver
1956,Skiing,Alpine Skiing,CAN,downhill,W,Bronze
1956,Skiing,Alpine Skiing,EUA,giant slalom,W,Gold
1956,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Bronze
1956,Skating,Speed skating,FIN,1500m,M,Bronze
1956,Skiing,Cross Country S,FIN,30km mass start,M,Gold
