e.name,e.season,e.food
Good News Bad News,0,Salad Dressing
Good News Bad News,0,Coffee
The Stock Tip,1,Grape
The Stake Out,1,Chocolate Covered Cherries
Male Unbonding,1,Meat Loaf
Male Unbonding,1,Pizza
The Robbery,1,BLT
The Robbery,1,Brisket Sandwich
The Stock Tip,1,Egg Salad
Male Unbonding,1,Egg Salad
Male Unbonding,1,Turkey Roll
The Stake Out,1,Bouillabaisse
The Jacket,2,Mini Ritz
The Statue,2,Pastries (of the Gods)
The Busboy,2,Pesto
The Chinese Restaurant,2,Egg Rolls
The Statue,2,French Toast
The Stranded,2,Good Dip
The Baby Shower,2,Bosco
The Jacket,2,Club Soda
The Phone Message,2,Coffee
The Jacket,2,Cranberry juice with two limes
The Statue,2,Molotov Cocktail
The Jacket,2,Scotch
The Phone Message,2,Apple
The Ex-Girlfriend,2,Cantaloupe
The Busboy,2,Cashews (bag of)
The Heart Attack,2,Chuckles (5 flavors)
The Heart Attack,2,Ice Cream
The Statue,2,Ice Cream
The Chinese Restaurant,2,Hamburger (Skyburger)
The Heart Attack,2,Salami
The Heart Attack,2,Bologna
The Heart Attack,2,Halibut
The Heart Attack,2,Cucumber
The Pony Remark,2,Foliage (edible)
The Pony Remark,2,Peas
The Heart Attack,2,Pickle
The Statue,2,Roasted Potatoes
