f.food,f.type
Salad Dressing,Condiments
Grape,Fruit
Chocolate Covered Cherries,Junkfood
Meat Loaf,Meat
Pizza,Rice/Pasta
BLT,Sandwiches
Brisket Sandwich,Sandwiches
Egg Salad,Sandwiches
Turkey Roll,Sandwiches
Bouillabaisse,Soup
Mini Ritz,Bakery
Pastries (of the Gods),Bakery
Pesto,Condiments
Egg Rolls,Dairy
French Toast,Dairy
Good Dip,Dip
Bosco,Drinks
Club Soda,Drinks
Coffee,Drinks
Cranberry juice with two limes,Drinks
Molotov Cocktail,Drinks
Scotch,Drinks
Apple,Fruit
Cantaloupe,Fruit
Cashews (bag of),Junkfood
Chuckles (5 flavors),Junkfood
Ice Cream,Junkfood
Hamburger (Skyburger),Meat
Salami,Meat
Bologna,Meat
Halibut,Seafood
Cucumber,Vegetables
Foliage (edible),Vegetables
Peas,Vegetables
Pickle,Vegetables
Kasha,Cereal
